Chip,frequency(Mhz),Voltage,Power(Watts),TransistorSize (nm),Transistors,Chip Area,Source,
AMDAthalon_81,2000,1.5,89,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_82,2200,1.5,89,130,68.5,144,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_83,2200,1.4,59,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_84,2200,1.5,89,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_85,2400,1.5,89,130,68.5,144,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_86,2400,1.5,89,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_87,1800,1.4,67,90,68.5,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_88,1800,1.375,67,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_89,2000,1.4,67,90,68.5,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_9,700,1.7,38.3,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_90,2000,1.375,67,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_91,2000,1.35,67,90,154,147,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_92,2200,1.5,89,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_93,2200,1.5,89,130,68.5,144,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_94,2200,1.4,67,90,68.5,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_95,2200,1.375,67,90,114,115,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_96,2200,1.375,67,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_97,2200,1.35,67,90,154,147,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_98,2200,1.35,89,90,114,115,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_99,2400,1.5,89,130,68.5,144,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_1,600,1.6,27.4,180,25,100,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_10,950,1.75,44.4,180,25.2,106,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_11,1000,1.75,46.1,180,25.2,106,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_12,1100,1.75,50.3,180,25.2,106,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_13,1200,1.75,54.7,180,25.2,106,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_14,1300,1.75,60,180,25.2,106,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_15,1400,1.5,57,130,37.2,85,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_16,1600,1.5,57,130,37.2,85,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_17,1800,1.5,57,130,37.2,85,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_18,1500,1.6,62,130,37.2,85,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_19,1500,1.6,62,130,54.3,101,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_2,650,1.6,29.4,180,25,100,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_20,1583,1.6,62,130,37.2,85,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_21,1666,1.6,62,130,37.2,85,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_22,1750,1.6,62,130,37.2,85,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_23,1833,1.6,62,130,37.2,85,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_24,2000,1.6,62,130,37.2,85,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_25,2000,1.6,62,130,54.3,101,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_26,2000,1.6,62,130,54.3,101,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_27,1400,1.3,62,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_28,1600,1.4,62,90,72.25,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_29,1600,1.4,62,90,68.5,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_3,700,1.6,31.4,180,25,100,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_30,1600,1.4,62,90,72.25,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_31,1800,1.4,62,130,68.5,144,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_32,1800,1.4,62,90,72.25,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_33,1800,1.4,62,130,68.5,144,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_34,1800,1.4,62,90,72.25,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_35,2000,1.4,62,90,72.25,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_36,2000,1.4,62,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_37,1800,1.4,62,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_38,1800,1.375,62,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_39,2000,1.375,62,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_4,750,1.6,33.4,180,25,100,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_40,1600,1.375,62,90,103,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_41,1600,1.3,48.5,90,103,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_42,1800,1.2,48.5,90,103,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_43,1800,1.2,48.5,90,103,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_44,2000,1.2,48.5,90,103,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_45,2000,1.2,62,90,103,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_5,800,1.6,35.4,180,25,100,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_6,850,1.6,37.4,180,25,100,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_7,900,1.6,39.5,180,25,100,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_8,900,1.75,42.7,180,25.2,106,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDDuron/Sentron_9,950,1.6,41.5,180,25,100,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_1,75,3.52,11.6,500,4.3,271,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_10,233,2.7,20.9,300,8.8,115,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_11,266,2.2,14.55,250,8.8,68,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_12,300,2.2,15.4,250,8.8,68,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_13,266,2.2,14.7,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_14,300,2.2,17.2,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_15,300,2.2,17.2,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_16,300,2.2,17.2,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_17,333,2.2,19,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_18,333,2.2,19,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_19,333,2.2,19,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_2,90,3.52,12.3,350,4.3,181,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_20,350,2.2,19.95,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_21,350,2.2,19.95,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_22,366,2.2,20.8,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_23,380,2.2,21.6,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_24,400,2.2,16.9,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_25,450,2.3,23.6,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_26,475,2.3,24.7,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_27,500,2.2,20.75,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_28,533,2.2,20.75,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_29,550,2.2,25,250,9.3,81,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_3,90,3.52,13.9,350,4.3,161,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_30,400,2.3,22.45,250,21.3,118,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_31,450,2.3,24.85,250,21.3,118,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_4,100,3.52,15.4,350,4.3,161,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_5,100,3.52,13.7,350,4.3,181,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_6,100,3.52,13.7,350,4.3,181,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_7,116,3.52,16,350,4.3,181,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_8,166,2.9,17.2,350,8.8,162,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDK6_9,200,2.55,16.225,300,8.8,115,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
4004,0.108,5,0.2,10000,0.0023,13.5,"data from Moore 2003 and ICKnowledge 2004, http://www.icknowledge.com/history/history.html",
8008,0.2,5,0.3,10000,0.0035,15.2,"data from Moore 2003 and ICKnowledge 2004, http://www.icknowledge.com/history/history.html",
8080,2,5,0.5,6000,0.006,20,"data from Moore 2003 and ICKnowledge 2004, http://www.icknowledge.com/history/history.html",
8088,10,5,2.5,3000,0.029,28.6,"data from Moore 2003 and ICKnowledge 2004, http://www.icknowledge.com/history/history.html",
80286,12,5,3,1500,0.134,68.7,"data from Moore 2003 and ICKnowledge 2004, http://www.icknowledge.com/history/history.html",
80386,33,5,1.9,1500,0.275,104,"data from Moore 2003 and ICKnowledge 2004, http://www.icknowledge.com/history/history.html",
80486,50,5,3.2,1000,1.2,163,"data from Moore 2003 and ICKnowledge 2004, http://www.icknowledge.com/history/history.html",
