Chip,frequency(Mhz),Voltage,Power(Watts),TransistorSize (nm),Transistors,Chip Area,Source,
pentium3_91,500,1.6,16.8,180,28,100.3333333,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_92,500,1.35,12.2,180,28,97.5,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_93,500,1.1,8.1,180,28,90,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_94,550,1.6,18.4,180,28,97.5,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_95,600,1.6,20,180,28,97.5,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_96,600,1.35,14.4,180,28,95,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_97,600,1.1,9.7,180,28,95,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_98,650,1.6,21.5,180,28,97.5,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_99,650,1.15,10.6,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_100,650,1.1,7,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_101,700,1.6,23,180,28,90,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_102,700,1.1,7,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_103,733,1.7,20.6,180,28,95,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_104,733,1.15,11.2,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_105,733,1.1,7,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_106,750,1.6,24.6,180,28,92.5,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_107,800,1.6,25.9,180,28,95,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_108,800,1.7,22,180,28,95,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_109,800,1.1,7,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_110,850,1.6,27.5,180,28,95,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_111,866,1.7,23.3,180,28,95,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_112,866,1.15,9.61,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_113,900,1.7,30.7,180,28,95,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_114,933,1.7,24.6,180,28,95,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_115,1000,1.4,22,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_116,1066,1.45,23.2,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_117,1133,1.45,23.8,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_118,1200,1.45,24.4,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_119,1266,1.4,22,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_120,1333,1.5,19,130,44,80,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_70,500,2,36,250,9.5,123,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_71,500,2,44,250,9.5,123,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_72,500,2,36.2,250,9.5,123,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_73,550,2,34,250,9.5,123,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_74,550,2,34,250,9.5,123,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_75,550,2,39.5,250,9.5,123,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_76,600,2.8,18.8,180,28,105,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_77,667,2.8,20.8,180,28,105,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_78,700,2.8,28.9,180,140,375,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
