Chip,f,V,P,lambda,N,Achip,DMIPS,DefinitelyMIPS,Cores
Pentium 4 651,3400,1.337,86,65,188,81,8338,0,1
Pentium 4 560,3600,1.4,115,90,125,112,8714,0,1
Pentium 4 EE,3400,1.6,109.6,130,178,237,8730,0,1
Pentium 4 661,3600,1.337,86,65,188,81,8803,0,1
Pentium 4 660,3600,1.4,115,90,169,135,8823,0,1
Pentium 4 EE,3466,1.6,110.7,130,178,237,8900,0,1
Pentium 4 EE,3733,1.4,114,90,169,135,9138,0,1
Pentium 4 670,3800,1.4,115,90,169,135,9318,0,1
Pentium 4 570,3800,1.4,115,90,125,112,9347,0,1
Pentium D 805,2666,1.4,95,90,230,206,12019,0,2
Pentium D 920,2800,1.3375,95,65,376,162,12541,0,2
Pentium D 820,2800,1.4,95,90,230,206,12596,0,2
Pentium D 930,3000,1.3375,95,65,376,162,13452,0,2
Pentium D 830,3000,1.4,130,90,230,206,13530,0,2
Pentium D 940,3200,1.3375,130,65,376,162,14361,0,2
Pentium D 840,3200,1.4,130,90,230,206,14440,0,2
Pentium D 950,3400,1.3375,130,65,376,162,15287,0,2
Pentium D 840E,3200,1.4,130,90,230,206,15805,0,2
Pentium D 960,3600,1.3375,130,65,376,162,16166,0,2
Pentium D 955,3466,1.3375,130,65,376,162,16936,0,2
Pentium D 965,3733,1.3375,130,65,376,162,18246,0,2
Pentium Core 2 Duo,2133,1.5,65,65,291,144,19562,0,2
Pentium Core 2 Duo,2400,1.5,65,65,291,144,22038,0,2
Pentium Core 2 Duo,2666,1.5,65,65,291,144,24617,0,2
Pentium Core 2 Duo,2933,1.5,75,65,291,144,27079,0,2
Pentium Core 2 Quad,2400,1.5,105,65,582,286,44309,0,4
Pentium Core 2 Quad QX6700,2666,1.5,130,65,582,286,49161,1,4
Pentium Core 2 Quad QX9770,3200,1.3625,136,45,820,214,59455,1,4
Core i7 920,2666,1.375,130,45,731,263,82300,1,4
Core i7 980X,3333,1.375,130,32,1096,239,147600,1,6
Core i5 2500K,3300,,95,32,504,216,83000,1,4
Core i7 875K,2933,1.4,95,45,774,296,92100,1,4
Core i7 2600K,3400,,95,32,1160,216,117160,1,4
Core i7 3960X,3300,,130,32,1270,294,176170,1,6
Core i7 3770K,3500,,77,22,1400,160,106924,1,4
Core i7 3630QM,2400,,45,22,1400,160,113093,1,4
Core i7 5960X,3000,,140,22,2600,356,238310,1,8
